PC1,PC2,Region
-0.17167726897549312,0.9912970867986651,Alba
-0.466953063452875,-0.5699929082429819,Arad
0.04150657428400765,1.1860417111495203,Arges
-0.3495983766334694,-0.4520861909115189,Bacau
-0.09822632653554672,0.640977822888948,Bihor
-0.6307400919417967,-0.9622331991515932,Bistrita-Nasaud
-0.5845807271416161,-0.9641192552899347,Botosani
-0.647541242963806,-0.926348986622066,Braila
-0.22681811834766058,0.13100333749657248,Brasov
-0.556073234275849,-0.9117032820171999,Buzau
-0.5976427581649477,-0.6153126228975961,Calarasi
-0.6249971976081454,-0.8241480748330378,Caras-Severin
0.4977759454561512,2.8699213574871414,Cluj
0.011612256224290284,1.0345748513800157,Constanta
-0.6786162622793099,-0.889099896581309,Covasna
-0.11014093315057574,0.6737296230370651,Dambovita
0.008506603696492554,1.1128300432621192,Dolj
-0.42354448340398215,-0.551719016920115,Galati
-0.5976191593286813,-0.5036524844956248,Giurgiu
-0.39799369884178704,-0.40419798565547027,Gorj
-0.639467576942076,-1.0001130974549897,Harghita
-0.2915033946088907,0.5103332592896364,Hunedoara
-0.6322989608299617,-0.7192162878838646,Ialomita
0.2749280351891858,1.808955702063271,Iasi
-0.22817596267726006,0.4581286884039869,Ilfov
-0.49329831878821595,-0.8168176818413202,Maramures
-0.6745664923158914,-0.948690148928834,Mehedinti
1.2903238194465747,2.1738267064594097,Municipiul Bucuresti
-0.3358255476273235,-0.2719977350784332,Mures
-0.5242146613222013,-0.8521442054798427,Neamt
-0.16405934853034462,0.9339757917925311,Olt
-0.1799550021689673,-0.05945293171120424,Prahova
-0.6116865534750446,-0.6928037051317605,Salaj
-0.557931343478781,-0.70601252565425,Satu Mare
0.008345184191996114,1.625268355424536,Sibiu
-0.11723227379397416,0.555765293028444,Suceava
-0.6615095340512638,-1.060030082410346,Teleorman
0.0015371414914539978,0.8470866424943356,Timis
-0.34205111212420886,0.7611829103738151,Tulcea
-0.2970263350911,0.458924667729946,Valcea
-0.4888772452543719,-0.9503669837257919,Vaslui
-0.659095630071264,-1.0497295515701157,Vrancea
12.927002676216526,-1.071835010070759,TOTAL
